"","id","Own","IntentToBuy","BrandAwareness_Anker","BrandAwareness_Bose","BrandAwareness_JBL","BrandAwareness_Philips","BrandAwareness_Sony","BrandAwareness_UE","BrandAwareness_HarmanKardon","BrandAwareness_Beats","BrandAwareness_None","SubjKnow_r1","SubjKnow_r2","SubjKnow_r3","SubjKnow_r4","SubjKnow_r5","PII_1","PII_2","PII_3","PII_4","PII_5","RelImp_battery","RelImp_weight","RelImp_price","RelImp_sound","Gender","GenderLabel","Age","AgeLabel","Residence","Occupation","OccupationLabel","Education","EducationLabel","Income","IncomeLabel"
"20",66,0,1,0,1,1,1,1,0,0,0,0,6,6,2,3,5,3,3,5,4,3,15,30,30,25,2,"male",3,"25-29","Turkey",1,"Employed",3,"Undergraduate",3,"1001-1500€"
"21",67,0,1,0,1,1,1,1,1,1,1,0,6,4,3,6,4,4,6,4,6,5,30,20,30,20,2,"male",3,"25-29","Turkey",1,"Employed",4,"Graduate",2,"501-1000€"
"23",76,0,0,0,0,0,0,0,0,0,1,0,2,2,1,4,2,4,5,5,4,5,33,2,30,35,1,"female",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
"24",78,1,0,0,0,1,1,0,0,0,1,0,3,2,2,3,2,6,6,4,4,3,0,0,40,60,1,"female",3,"25-29","Turkey",1,"Employed",4,"Graduate",8,"rather not say"
"25",81,0,0,0,1,1,0,0,0,0,0,0,2,2,2,4,2,4,2,5,4,5,40,10,30,20,2,"male",2,"18-24","Germany",3,"Student",2,"High school",1,"<500€"
"26",88,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,2,3,5,50,5,20,25,1,"female",3,"25-29","Germany",3,"Student",4,"Graduate",2,"501-1000€"
"28",95,0,0,0,1,1,0,1,0,0,1,0,2,2,1,4,2,3,4,4,4,5,20,10,30,40,3,"Prefer not to answer",3,"25-29","Turkey",1,"Employed",4,"Graduate",8,"rather not say"
"29",96,0,0,0,0,0,0,0,0,0,0,1,2,3,2,5,4,2,3,3,2,3,5,5,30,60,2,"male",3,"25-29","Germany",3,"Student",2,"High school",2,"501-1000€"
"32",110,0,0,0,1,1,0,0,0,0,1,0,2,3,3,4,3,4,4,3,3,3,15,5,20,60,1,"female",2,"18-24","Germany",3,"Student",4,"Graduate",1,"<500€"
"34",112,1,0,0,1,1,1,1,0,0,1,0,5,5,2,5,5,2,3,3,2,3,30,5,15,50,2,"male",2,"18-24","Germany",3,"Student",4,"Graduate",3,"1001-1500€"
"35",114,0,1,0,0,0,0,0,0,0,0,1,2,3,2,4,2,4,4,4,4,4,35,10,5,50,1,"female",3,"25-29","Ghana",1,"Employed",4,"Graduate",5,"2001-2500€"
"37",116,0,0,0,0,0,1,1,0,0,1,0,4,3,2,4,2,5,4,4,5,4,20,20,20,40,1,"female",3,"25-29","Germany",4,"Unemployed",4,"Graduate",1,"<500€"
"38",120,1,1,0,1,1,0,1,0,1,1,0,4,4,3,6,5,4,4,4,4,4,40,10,20,30,2,"male",3,"25-29","China",3,"Student",4,"Graduate",7,">=3001€"
"39",125,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,2,4,4,4,4,4,10,10,50,30,1,"female",2,"18-24","United States",3,"Student",3,"Undergraduate",2,"501-1000€"
"43",139,1,0,0,1,0,0,0,0,1,0,0,5,6,5,6,6,2,2,3,2,4,30,10,30,30,2,"male",4,"30-34","Turkey",1,"Employed",4,"Graduate",3,"1001-1500€"
"44",145,0,0,0,0,0,0,0,0,0,0,1,2,4,2,4,2,4,4,3,1,4,0,0,100,0,2,"male",6,"40-44","Germany",2,"Self-employed",2,"High school",8,"rather not say"
"45",147,0,0,0,0,0,0,0,0,0,0,1,3,6,2,5,2,3,4,4,3,4,80,10,10,0,1,"female",8,">=50","Germany",1,"Employed",4,"Graduate",8,"rather not say"
