"id","Own","IntentToBuy","BrandAwareness_Anker","BrandAwareness_Bose","BrandAwareness_JBL","BrandAwareness_Philips","BrandAwareness_Sony","BrandAwareness_UE","BrandAwareness_HarmanKardon","BrandAwareness_Beats","BrandAwareness_None","SubjKnow_r1","SubjKnow_r2","SubjKnow_r3","SubjKnow_r4","SubjKnow_r5","PII_1","PII_2","PII_3","PII_4","PII_5","RelImp_battery","RelImp_weight","RelImp_price","RelImp_sound","Gender","GenderLabel","Age","AgeLabel","Residence","Occupation","OccupationLabel","Education","EducationLabel","Income","IncomeLabel"
756,1,1,0,1,0,0,1,0,0,0,0,2,3,2,5,3,3,3,4,3,3,10,40,20,30,1,"female",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
760,0,0,1,0,0,0,0,0,0,0,0,2,3,2,4,3,3,4,3,3,3,10,15,50,25,2,"male",4,"30-34","Saudi Arabia",1,"Employed",3,"Undergraduate",4,"1501-2000€"
772,0,1,1,1,1,0,0,0,0,1,0,5,5,5,5,6,6,6,6,6,6,20,10,20,50,2,"male",3,"25-29","Germany",1,"Employed",4,"Graduate",6,"2501-3000€"
774,1,1,0,1,1,0,0,0,0,1,0,2,2,2,2,3,4,4,6,4,5,30,10,30,30,1,"female",3,"25-29","Germany",3,"Student",4,"Graduate",2,"501-1000€"
777,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1,10,10,20,60,1,"female",5,"35-39","Germany",1,"Employed",4,"Graduate",4,"1501-2000€"
781,0,1,0,1,1,1,1,0,0,0,0,3,3,2,6,4,4,4,5,5,5,15,5,30,50,2,"male",2,"18-24","Belgium",3,"Student",2,"High school",1,"<500€"
792,1,0,0,1,1,0,0,0,0,1,0,4,4,4,4,5,3,3,5,5,3,10,5,35,50,2,"male",2,"18-24","Belgium",3,"Student",2,"High school",1,"<500€"
794,0,1,0,1,1,1,1,0,0,0,0,6,7,5,5,6,5,3,5,4,5,30,5,5,60,2,"male",2,"18-24","Belgium",3,"Student",3,"Undergraduate",2,"501-1000€"
797,0,0,0,1,0,0,0,0,0,0,0,3,3,2,5,3,5,5,5,5,5,30,10,20,40,2,"male",2,"18-24","Belgium",3,"Student",2,"High school",8,"rather not say"
798,0,0,0,1,0,1,1,0,0,0,0,2,2,1,2,2,1,4,4,1,1,20,20,40,20,1,"female",2,"18-24","Belgium",3,"Student",2,"High school",1,"<500€"
802,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,1,5,4,5,3,4,20,30,20,30,1,"female",2,"18-24","Belgium",3,"Student",4,"Graduate",1,"<500€"
816,0,0,0,1,1,0,1,0,0,1,0,3,3,4,4,3,4,4,4,4,4,20,5,25,50,2,"male",2,"18-24","Germany",1,"Employed",2,"High school",2,"501-1000€"
817,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,2,2,3,2,2,3,50,5,30,15,1,"female",3,"25-29","Germany",3,"Student",4,"Graduate",2,"501-1000€"
821,1,0,0,1,1,0,0,0,0,1,0,2,5,1,4,5,2,3,3,3,4,30,10,20,40,1,"female",2,"18-24","Germany",3,"Student",2,"High school",1,"<500€"
823,1,0,1,1,1,0,1,0,0,1,0,5,5,5,4,5,4,5,6,4,5,10,10,20,60,2,"male",3,"25-29","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
826,0,0,0,0,1,0,0,0,0,0,0,5,6,1,2,3,5,3,3,3,3,50,0,50,0,2,"male",5,"35-39","Germany",1,"Employed",4,"Graduate",8,"rather not say"
835,1,0,1,1,0,0,1,0,0,1,0,5,6,4,5,6,5,5,2,5,6,20,20,30,30,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",3,"1001-1500€"
841,1,1,1,1,1,1,1,1,1,1,0,6,6,6,6,3,2,6,6,3,4,30,0,10,60,2,"male",3,"25-29","Germany",1,"Employed",4,"Graduate",5,"2001-2500€"
845,1,1,0,0,1,0,1,0,0,1,0,3,3,3,5,3,5,6,4,6,5,25,15,20,40,1,"female",1,"<18","Vietnam",3,"Student",1,"Less than high school",8,"rather not say"
850,1,0,0,1,1,0,1,0,0,0,0,2,2,3,3,2,6,5,6,6,5,20,10,10,60,1,"female",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
852,0,1,0,1,0,0,0,0,0,0,0,4,6,5,6,6,3,2,3,4,4,80,10,5,5,2,"male",3,"25-29","Germany",3,"Student",2,"High school",2,"501-1000€"
855,1,0,0,0,1,0,0,0,0,0,0,4,4,5,4,5,5,3,4,4,2,20,15,45,20,2,"male",3,"25-29","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
864,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,20,30,20,30,2,"male",4,"30-34","United States",3,"Student",4,"Graduate",8,"rather not say"
865,0,1,0,1,1,0,1,0,0,0,0,2,3,2,2,2,5,5,5,5,6,30,10,30,30,1,"female",3,"25-29","Germany",1,"Employed",4,"Graduate",5,"2001-2500€"
869,1,0,0,1,1,0,0,0,0,0,0,2,2,2,4,2,7,6,6,6,4,20,20,40,20,1,"female",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
881,0,0,0,1,1,0,0,0,0,1,0,4,4,3,5,4,3,3,3,3,3,10,10,40,40,2,"male",2,"18-24","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
